model,window_id,origin_date,target_date,horizon,y,y_hat,artifact_path,x_vix,x_volume_medio_22d,x_spy_volume,x_stress_index,x_ukx_close,x_baa_aaa_spread,x_baa,x_bollinger_width_20,x_obv,x_parkinson,x_indu_close,x_garman_klass,x_cpi,x_ndx_close,x_vix_term_spread,x_ret_spx_abs,x_atr_14,x_rv_diaria,x_industrial_production,x_aaa,x_spx_close,x_close_variance_forward_22,x_close_volatility_forward_22,error,squared_error,qlike_loss
LSTM,9,2019-05-09,2019-05-17,6,0.019078524058807982,0.013224920285027416,/content/daily_h22_run/results/models/lstm/lstm_window_09.pt,19.1,70390358.05,103471104,-0.6323,7207.41,0.93,4.66,0.03111802804,9803037630,6.92289705e-05,25828.36,9.040188699e-05,254.277,7582.75,-0.66,0.003026015589,28.23318062742375,9.156770343e-06,102.8757,3.73,2870.72,0.0238602522421445,0.15446764140798067,-0.005853603773780566,3.426467714041809e-05,0.07615885288053104
LSTM,9,2019-05-09,2019-05-20,7,0.01901976578662627,0.012492870303354438,/content/daily_h22_run/results/models/lstm/lstm_window_09.pt,19.1,70390358.05,103471104,-0.6323,7207.41,0.93,4.66,0.03111802804,9803037630,6.92289705e-05,25828.36,9.040188699e-05,254.277,7582.75,-0.66,0.003026015589,28.23318062742375,9.156770343e-06,102.8757,3.73,2870.72,0.0238602522421445,0.15446764140798067,-0.00652689548327183,4.260036464955422e-05,0.10212899411899157
LSTM,9,2019-05-09,2019-05-21,8,0.01933208277607858,0.0124437274862985,/content/daily_h22_run/results/models/lstm/lstm_window_09.pt,19.1,70390358.05,103471104,-0.6323,7207.41,0.93,4.66,0.03111802804,9803037630,6.92289705e-05,25828.36,9.040188699e-05,254.277,7582.75,-0.66,0.003026015589,28.23318062742375,9.156770343e-06,102.8757,3.73,2870.72,0.0238602522421445,0.15446764140798067,-0.006888355289780081,4.744943859824122e-05,0.11301108598858511
LSTM,9,2019-05-09,2019-05-22,9,0.019418736694990155,0.013455047036588138,/content/daily_h22_run/results/models/lstm/lstm_window_09.pt,19.1,70390358.05,103471104,-0.6323,7207.41,0.93,4.66,0.03111802804,9803037630,6.92289705e-05,25828.36,9.040188699e-05,254.277,7582.75,-0.66,0.003026015589,28.23318062742375,9.156770343e-06,102.8757,3.73,2870.72,0.0238602522421445,0.15446764140798067,-0.005963689658402016,3.556559434173116e-05,0.07634655183465111
LSTM,9,2019-05-09,2019-05-23,10,0.020046551069883237,0.013658706182933158,/content/daily_h22_run/results/models/lstm/lstm_window_09.pt,19.1,70390358.05,103471104,-0.6323,7207.41,0.93,4.66,0.03111802804,9803037630,6.92289705e-05,25828.36,9.040188699e-05,254.277,7582.75,-0.66,0.003026015589,28.23318062742375,9.156770343e-06,102.8757,3.73,2870.72,0.0238602522421445,0.15446764140798067,-0.0063878448869500795,4.080456229973427e-05,0.08399570496027509
LSTM,9,2019-05-09,2019-05-24,11,0.020628710968934125,0.01761697695136091,/content/daily_h22_run/results/models/lstm/lstm_window_09.pt,19.1,70390358.05,103471104,-0.6323,7207.41,0.93,4.66,0.03111802804,9803037630,6.92289705e-05,25828.36,9.040188699e-05,254.277,7582.75,-0.66,0.003026015589,28.23318062742375,9.156770343e-06,102.8757,3.73,2870.72,0.0238602522421445,0.15446764140798067,-0.0030117340175732157,9.070541792607704e-06,0.013135541414021068
LSTM,9,2019-05-09,2019-05-28,12,0.021114806253488272,0.01537095045278707,/content/daily_h22_run/results/models/lstm/lstm_window_09.pt,19.1,70390358.05,103471104,-0.6323,7207.41,0.93,4.66,0.03111802804,9803037630,6.92289705e-05,25828.36,9.040188699e-05,254.277,7582.75,-0.66,0.003026015589,28.23318062742375,9.156770343e-06,102.8757,3.73,2870.72,0.0238602522421445,0.15446764140798067,-0.005743855800701202,3.299187945924885e-05,0.05618742081172745
LSTM,9,2019-05-09,2019-05-29,13,0.021397893183554444,0.01609180047596278,/content/daily_h22_run/results/models/lstm/lstm_window_09.pt,19.1,70390358.05,103471104,-0.6323,7207.41,0.93,4.66,0.03111802804,9803037630,6.92289705e-05,25828.36,9.040188699e-05,254.277,7582.75,-0.66,0.003026015589,28.23318062742375,9.156770343e-06,102.8757,3.73,2870.72,0.0238602522421445,0.15446764140798067,-0.005306092707591664,2.8154619821557437e-05,0.044756294671734365
LSTM,9,2019-05-09,2019-05-30,14,0.02173430907704861,0.0177831775208466,/content/daily_h22_run/results/models/lstm/lstm_window_09.pt,19.1,70390358.05,103471104,-0.6323,7207.41,0.93,4.66,0.03111802804,9803037630,6.92289705e-05,25828.36,9.040188699e-05,254.277,7582.75,-0.66,0.003026015589,28.23318062742375,9.156770343e-06,102.8757,3.73,2870.72,0.0238602522421445,0.15446764140798067,-0.003951131556202012,1.561144057441533e-05,0.02154451684622738
LSTM,9,2019-05-09,2019-05-31,15,0.021853084011143706,0.01908134235293505,/content/daily_h22_run/results/models/lstm/lstm_window_09.pt,19.1,70390358.05,103471104,-0.6323,7207.41,0.93,4.66,0.03111802804,9803037630,6.92289705e-05,25828.36,9.040188699e-05,254.277,7582.75,-0.66,0.003026015589,28.23318062742375,9.156770343e-06,102.8757,3.73,2870.72,0.0238602522421445,0.15446764140798067,-0.0027717416582086554,7.682551819849267e-06,0.00962822059879942
LSTM,9,2019-05-09,2019-06-03,16,0.022153934971519445,0.013336368471586615,/content/daily_h22_run/results/models/lstm/lstm_window_09.pt,19.1,70390358.05,103471104,-0.6323,7207.41,0.93,4.66,0.03111802804,9803037630,6.92289705e-05,25828.36,9.040188699e-05,254.277,7582.75,-0.66,0.003026015589,28.23318062742375,9.156770343e-06,102.8757,3.73,2870.72,0.0238602522421445,0.15446764140798067,-0.00881756649993283,7.77494789807377e-05,0.15364662561729636
LSTM,9,2019-05-09,2019-06-04,17,0.022962297027568208,0.014270285613302432,/content/daily_h22_run/results/models/lstm/lstm_window_09.pt,19.1,70390358.05,103471104,-0.6323,7207.41,0.93,4.66,0.03111802804,9803037630,6.92289705e-05,25828.36,9.040188699e-05,254.277,7582.75,-0.66,0.003026015589,28.23318062742375,9.156770343e-06,102.8757,3.73,2870.72,0.0238602522421445,0.15446764140798067,-0.008692011414265776,7.555106242572653e-05,0.13342446485855453
LSTM,9,2019-05-09,2019-06-05,18,0.023657917881315715,0.016609212286715584,/content/daily_h22_run/results/models/lstm/lstm_window_09.pt,19.1,70390358.05,103471104,-0.6323,7207.41,0.93,4.66,0.03111802804,9803037630,6.92289705e-05,25828.36,9.040188699e-05,254.277,7582.75,-0.66,0.003026015589,28.23318062742375,9.156770343e-06,102.8757,3.73,2870.72,0.0238602522421445,0.15446764140798067,-0.007048705594600132,4.96842505593472e-05,0.07064494876283578
LSTM,9,2019-05-09,2019-06-06,19,0.02226842147916835,0.018091159662781974,/content/daily_h22_run/results/models/lstm/lstm_window_09.pt,19.1,70390358.05,103471104,-0.6323,7207.41,0.93,4.66,0.03111802804,9803037630,6.92289705e-05,25828.36,9.040188699e-05,254.277,7582.75,-0.66,0.003026015589,28.23318062742375,9.156770343e-06,102.8757,3.73,2870.72,0.0238602522421445,0.15446764140798067,-0.004177261816386377,1.744951628263961e-05,0.023154526183440716
LSTM,9,2019-05-09,2019-06-07,20,0.021307147319072486,0.01794676813679734,/content/daily_h22_run/results/models/lstm/lstm_window_09.pt,19.1,70390358.05,103471104,-0.6323,7207.41,0.93,4.66,0.03111802804,9803037630,6.92289705e-05,25828.36,9.040188699e-05,254.277,7582.75,-0.66,0.003026015589,28.23318062742375,9.156770343e-06,102.8757,3.73,2870.72,0.0238602522421445,0.15446764140798067,-0.0033603791822751465,1.1292148248668183e-05,0.01560894567438531
LSTM,9,2019-05-09,2019-06-10,21,0.021651834411698368,0.013933608917522234,/content/daily_h22_run/results/models/lstm/lstm_window_09.pt,19.1,70390358.05,103471104,-0.6323,7207.41,0.93,4.66,0.03111802804,9803037630,6.92289705e-05,25828.36,9.040188699e-05,254.277,7582.75,-0.66,0.003026015589,28.23318062742375,9.156770343e-06,102.8757,3.73,2870.72,0.0238602522421445,0.15446764140798067,-0.0077182254941761345,5.957100477895044e-05,0.11314232098603005
