model,window_id,origin_date,target_date,horizon,y,y_hat,artifact_path,x_true_range,x_parkinson,x_vix_term_spread,x_vix,x_garman_klass,x_ret_spx_abs,x_bollinger_width_20,x_rv_diaria,x_atr_14,x_rogers_satchell,x_macd,x_roc_10,x_spy_volume,x_cpi,x_aaa,x_ndx_close,x_ust_10y,x_yield_slope,x_spx_high,x_gold_close,x_spx_close,x_close_variance_forward_22,x_close_volatility_forward_22,error,squared_error,qlike_loss
TSMixerX,13,2023-05-25,2023-06-22,18,0.010270070843893492,0.014639897812139606,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_13.pt,50.5,2.718593307e-05,2.24,19.14,3.72482668e-05,0.008719564786,0.03315973823,7.603081005e-05,43.53366938258278,4.102228179e-05,15.50730931507951,0.005001670451,90961606,301.821,4.81,13938.53,3.8174,-1.4644,4165.74,1941.41,4151.28,0.013071505650126882,0.11433068551411245,0.004369826968246114,1.9095387732411024e-05,0.05602907430031134
TSMixerX,13,2023-05-25,2023-06-23,19,0.010739313928919884,0.01712305418939874,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_13.pt,50.5,2.718593307e-05,2.24,19.14,3.72482668e-05,0.008719564786,0.03315973823,7.603081005e-05,43.53366938258278,4.102228179e-05,15.50730931507951,0.005001670451,90961606,301.821,4.81,13938.53,3.8174,-1.4644,4165.74,1941.41,4151.28,0.013071505650126882,0.11433068551411245,0.006383740260478854,4.0752139713258634e-05,0.09369903198647767
TSMixerX,13,2023-05-25,2023-06-26,20,0.010502754105652585,0.017185349431494593,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_13.pt,50.5,2.718593307e-05,2.24,19.14,3.72482668e-05,0.008719564786,0.03315973823,7.603081005e-05,43.53366938258278,4.102228179e-05,15.50730931507951,0.005001670451,90961606,301.821,4.81,13938.53,3.8174,-1.4644,4165.74,1941.41,4151.28,0.013071505650126882,0.11433068551411245,0.006682595325842007,4.465708028896545e-05,0.10356552384762341
TSMixerX,13,2023-05-25,2023-06-27,21,0.010413895623972748,0.01697914011462327,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_13.pt,50.5,2.718593307e-05,2.24,19.14,3.72482668e-05,0.008719564786,0.03315973823,7.603081005e-05,43.53366938258278,4.102228179e-05,15.50730931507951,0.005001670451,90961606,301.821,4.81,13938.53,3.8174,-1.4644,4165.74,1941.41,4151.28,0.013071505650126882,0.11433068551411245,0.0065652444906505215,4.3102435222017024e-05,0.10217919563880917
TSMixerX,13,2023-05-25,2023-06-28,22,0.009251796073448016,0.021218080343799847,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_13.pt,50.5,2.718593307e-05,2.24,19.14,3.72482668e-05,0.008719564786,0.03315973823,7.603081005e-05,43.53366938258278,4.102228179e-05,15.50730931507951,0.005001670451,90961606,301.821,4.81,13938.53,3.8174,-1.4644,4165.74,1941.41,4151.28,0.013071505650126882,0.11433068551411245,0.01196628427035183,0.00014319195923886963,0.2660695673079898
TSMixerX,13,2023-05-26,2023-05-30,1,0.012698808814518299,0.00795626669277236,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_13.pt,61.59,6.624557571e-05,2.49,17.95,3.814180823e-05,0.01296458274,0.03555355407,0.0001680804055,44.82340728382688,2.389074807e-05,18.96185655270529,0.0197304611,93829975,301.821,4.77,14298.41,3.7983,-1.4311,4212.87,1946.46,4205.45,0.01137443312665014,0.1066509874621428,-0.004742542121745939,2.249170577653447e-05,0.1285280002470588
TSMixerX,13,2023-05-26,2023-05-31,2,0.012865043343379786,0.0069088098101293665,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_13.pt,61.59,6.624557571e-05,2.49,17.95,3.814180823e-05,0.01296458274,0.03555355407,0.0001680804055,44.82340728382688,2.389074807e-05,18.96185655270529,0.0197304611,93829975,301.821,4.77,14298.41,3.7983,-1.4311,4212.87,1946.46,4205.45,0.01137443312665014,0.1066509874621428,-0.0059562335332504195,3.547671790261678e-05,0.24040507464524108
TSMixerX,13,2023-05-26,2023-06-01,3,0.013396977083257596,0.007514562817815257,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_13.pt,61.59,6.624557571e-05,2.49,17.95,3.814180823e-05,0.01296458274,0.03555355407,0.0001680804055,44.82340728382688,2.389074807e-05,18.96185655270529,0.0197304611,93829975,301.821,4.77,14298.41,3.7983,-1.4311,4212.87,1946.46,4205.45,0.01137443312665014,0.1066509874621428,-0.005882414265442339,3.460279759027953e-05,0.20461568467455415
TSMixerX,13,2023-05-26,2023-06-02,4,0.012412290933264892,0.007457147792740248,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_13.pt,61.59,6.624557571e-05,2.49,17.95,3.814180823e-05,0.01296458274,0.03555355407,0.0001680804055,44.82340728382688,2.389074807e-05,18.96185655270529,0.0197304611,93829975,301.821,4.77,14298.41,3.7983,-1.4311,4212.87,1946.46,4205.45,0.01137443312665014,0.1066509874621428,-0.0049551431405246435,2.4553443543088427e-05,0.15496817853348066
TSMixerX,13,2023-05-26,2023-06-05,5,0.011690584424622482,0.008080018967058476,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_13.pt,61.59,6.624557571e-05,2.49,17.95,3.814180823e-05,0.01296458274,0.03555355407,0.0001680804055,44.82340728382688,2.389074807e-05,18.96185655270529,0.0197304611,93829975,301.821,4.77,14298.41,3.7983,-1.4311,4212.87,1946.46,4205.45,0.01137443312665014,0.1066509874621428,-0.0036105654575640054,1.3036182923354376e-05,0.07746156379979796
