model,window_id,origin_date,target_date,horizon,y,y_hat,artifact_path,x_atr_14,x_vix,x_stress_index,x_true_range,x_parkinson,x_bollinger_width_20,x_macd,x_garman_klass,x_spy_volume,x_baa_aaa_spread,x_vix_term_spread,x_volume_medio_22d,x_ret_spx_abs,x_rogers_satchell,x_rv_diaria,x_baa,x_roc_10,x_rsi_14,x_ust_3m,x_spx_low,x_spx_close,x_close_variance_forward_22,x_close_volatility_forward_22,error,squared_error,qlike_loss
LSTM,1,2011-09-14,2011-09-19,3,0.06505264232698375,0.05644917838835649,/content/daily_h22_run/results/models/lstm/lstm_window_01.pt,31.34479350066594,34.6,0.5165,39.65,0.0004055455271,0.09317353939,-11.83469587061404,0.000496860344,319389428,1.19,0.36,297631804.3,0.01338971117,0.000480488838,0.0001792843652,5.33,-0.01998483,49.23455176878966,0.0,1162.73,1188.68,0.0887835796919517,0.2979657357683123,-0.008603463938627265,7.401959174325976e-05,0.010554702900927193
LSTM,1,2011-09-14,2011-09-20,4,0.05950893887722092,0.057532036760009134,/content/daily_h22_run/results/models/lstm/lstm_window_01.pt,31.34479350066594,34.6,0.5165,39.65,0.0004055455271,0.09317353939,-11.83469587061404,0.000496860344,319389428,1.19,0.36,297631804.3,0.01338971117,0.000480488838,0.0001792843652,5.33,-0.01998483,49.23455176878966,0.0,1162.73,1188.68,0.0887835796919517,0.2979657357683123,-0.0019769021172117845,3.9081419810364364e-06,0.000577180543526401
LSTM,1,2011-09-14,2011-09-21,5,0.0582584405168332,0.0566399048989358,/content/daily_h22_run/results/models/lstm/lstm_window_01.pt,31.34479350066594,34.6,0.5165,39.65,0.0004055455271,0.09317353939,-11.83469587061404,0.000496860344,319389428,1.19,0.36,297631804.3,0.01338971117,0.000480488838,0.0001792843652,5.33,-0.01998483,49.23455176878966,0.0,1162.73,1188.68,0.0887835796919517,0.2979657357683123,-0.0016185356178974042,2.619657546402532e-06,0.00040067550636191385
LSTM,1,2011-09-14,2011-09-22,6,0.062222446384537514,0.057512672389794975,/content/daily_h22_run/results/models/lstm/lstm_window_01.pt,31.34479350066594,34.6,0.5165,39.65,0.0004055455271,0.09317353939,-11.83469587061404,0.000496860344,319389428,1.19,0.36,297631804.3,0.01338971117,0.000480488838,0.0001792843652,5.33,-0.01998483,49.23455176878966,0.0,1162.73,1188.68,0.0887835796919517,0.2979657357683123,-0.004709773994742539,2.218197108155309e-05,0.0031805689441060103
LSTM,1,2011-09-14,2011-09-23,7,0.06137341549709376,0.047648674580007176,/content/daily_h22_run/results/models/lstm/lstm_window_01.pt,31.34479350066594,34.6,0.5165,39.65,0.0004055455271,0.09317353939,-11.83469587061404,0.000496860344,319389428,1.19,0.36,297631804.3,0.01338971117,0.000480488838,0.0001792843652,5.33,-0.01998483,49.23455176878966,0.0,1162.73,1188.68,0.0887835796919517,0.2979657357683123,-0.013724740917086586,0.00018836851324115076,0.0349183952346106
LSTM,1,2011-09-14,2011-09-26,8,0.06260412843178519,0.04690714134246608,/content/daily_h22_run/results/models/lstm/lstm_window_01.pt,31.34479350066594,34.6,0.5165,39.65,0.0004055455271,0.09317353939,-11.83469587061404,0.000496860344,319389428,1.19,0.36,297631804.3,0.01338971117,0.000480488838,0.0001792843652,5.33,-0.01998483,49.23455176878966,0.0,1162.73,1188.68,0.0887835796919517,0.2979657357683123,-0.015696987089319103,0.0002463954036822506,0.04597830753303933
LSTM,1,2011-09-14,2011-09-27,9,0.06339182746601435,0.0393006758460507,/content/daily_h22_run/results/models/lstm/lstm_window_01.pt,31.34479350066594,34.6,0.5165,39.65,0.0004055455271,0.09317353939,-11.83469587061404,0.000496860344,319389428,1.19,0.36,297631804.3,0.01338971117,0.000480488838,0.0001792843652,5.33,-0.01998483,49.23455176878966,0.0,1162.73,1188.68,0.0887835796919517,0.2979657357683123,-0.024091151619963648,0.0005803835863760771,0.13490262780727358
LSTM,1,2011-09-14,2011-09-28,10,0.058394442473674535,0.04724740396404607,/content/daily_h22_run/results/models/lstm/lstm_window_01.pt,31.34479350066594,34.6,0.5165,39.65,0.0004055455271,0.09317353939,-11.83469587061404,0.000496860344,319389428,1.19,0.36,297631804.3,0.01338971117,0.000480488838,0.0001792843652,5.33,-0.01998483,49.23455176878966,0.0,1162.73,1188.68,0.0887835796919517,0.2979657357683123,-0.011147038509628462,0.00012425646753513994,0.02410610917042799
LSTM,1,2011-09-14,2011-09-29,11,0.06164317082221635,0.03947676884447367,/content/daily_h22_run/results/models/lstm/lstm_window_01.pt,31.34479350066594,34.6,0.5165,39.65,0.0004055455271,0.09317353939,-11.83469587061404,0.000496860344,319389428,1.19,0.36,297631804.3,0.01338971117,0.000480488838,0.0001792843652,5.33,-0.01998483,49.23455176878966,0.0,1162.73,1188.68,0.0887835796919517,0.2979657357683123,-0.02216640197774268,0.0004913493766388746,0.11585489008316752
LSTM,1,2011-09-14,2011-09-30,12,0.0603295899372337,0.03433996416929648,/content/daily_h22_run/results/models/lstm/lstm_window_01.pt,31.34479350066594,34.6,0.5165,39.65,0.0004055455271,0.09317353939,-11.83469587061404,0.000496860344,319389428,1.19,0.36,297631804.3,0.01338971117,0.000480488838,0.0001792843652,5.33,-0.01998483,49.23455176878966,0.0,1162.73,1188.68,0.0887835796919517,0.2979657357683123,-0.025989625767937223,0.0006754606475574265,0.19332033985755537
