model,window_id,origin_date,target_date,horizon,y,y_hat,artifact_path,x_volume_medio_22d,x_vix,x_spy_volume,x_ukx_close,x_bollinger_width_20,x_parkinson,x_indu_close,x_industrial_production,x_baa,x_cpi,x_obv,x_unemployment,x_ndx_close,x_vix_term_spread,x_garman_klass,x_ret_spx_abs,x_rv_diaria,x_macd,x_atr_14,x_true_range,x_spx_close,x_close_variance_forward_22,x_close_volatility_forward_22,error,squared_error,qlike_loss
TSMixerX,10,2020-06-25,2020-07-27,21,0.025714930473561833,0.012932878890265783,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_10.pt,108025515.1,32.22,89467968,6147.14,0.077851856,0.0001497008851,25745.6,84.5619,3.6,256.032,10291031277,14.8,10101.83,1.87,0.0001507530146,0.01089985017,0.0001188067338,33.40430690771473,65.67156644680223,62.24,3083.76,0.027755350822244836,0.16659937221443794,-0.01278205158329605,0.00016338084267804103,0.3010387295398822
TSMixerX,10,2020-06-25,2020-07-28,22,0.0243302029785805,0.012391736295937027,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_10.pt,108025515.1,32.22,89467968,6147.14,0.077851856,0.0001497008851,25745.6,84.5619,3.6,256.032,10291031277,14.8,10101.83,1.87,0.0001507530146,0.01089985017,0.0001188067338,33.40430690771473,65.67156644680223,62.24,3083.76,0.027755350822244836,0.16659937221443794,-0.011938466682643473,0.00014252698673258824,0.28873294529528115
TSMixerX,10,2020-06-26,2020-06-29,1,0.06031054063843722,0.016154336306063635,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_10.pt,107525763.0,34.73,127961017,6159.3,0.08105519646,0.0001864640947,25015.55,84.5619,3.56,256.032,10163070260,14.8,9849.36,1.07,8.659432896e-05,0.02452521734,0.0006014862853,24.04938738416513,66.6328831291735,79.13,3009.05,0.022613179267710427,0.15037679098754045,-0.04415620433237359,0.0019497703810423283,1.4160780008376705
TSMixerX,10,2020-06-26,2020-06-30,2,0.060082336817961074,0.02117314716277819,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_10.pt,107525763.0,34.73,127961017,6159.3,0.08105519646,0.0001864640947,25015.55,84.5619,3.56,256.032,10163070260,14.8,9849.36,1.07,8.659432896e-05,0.02452521734,0.0006014862853,24.04938738416513,66.6328831291735,79.13,3009.05,0.022613179267710427,0.15037679098754045,-0.038909189655182884,0.0015139250396229908,0.7946846366948557
TSMixerX,10,2020-06-26,2020-07-01,3,0.05992946439119113,0.021728781559908362,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_10.pt,107525763.0,34.73,127961017,6159.3,0.08105519646,0.0001864640947,25015.55,84.5619,3.56,256.032,10163070260,14.8,9849.36,1.07,8.659432896e-05,0.02452521734,0.0006014862853,24.04938738416513,66.6328831291735,79.13,3009.05,0.022613179267710427,0.15037679098754045,-0.038200682831282765,0.0014592921687762617,0.7435377792953648
TSMixerX,10,2020-06-26,2020-07-02,4,0.060979659251613534,0.022484545231238617,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_10.pt,107525763.0,34.73,127961017,6159.3,0.08105519646,0.0001864640947,25015.55,84.5619,3.56,256.032,10163070260,14.8,9849.36,1.07,8.659432896e-05,0.02452521734,0.0006014862853,24.04938738416513,66.6328831291735,79.13,3009.05,0.022613179267710427,0.15037679098754045,-0.03849511402037492,0.0014818738034416657,0.7143577816012356
TSMixerX,10,2020-06-26,2020-07-06,5,0.06106373814974101,0.022840492512763464,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_10.pt,107525763.0,34.73,127961017,6159.3,0.08105519646,0.0001864640947,25015.55,84.5619,3.56,256.032,10163070260,14.8,9849.36,1.07,8.659432896e-05,0.02452521734,0.0006014862853,24.04938738416513,66.6328831291735,79.13,3009.05,0.022613179267710427,0.15037679098754045,-0.03822324563697754,0.0014610165070247229,0.6901027936300141
TSMixerX,10,2020-06-26,2020-07-07,6,0.06115136561564336,0.027949796605461954,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_10.pt,107525763.0,34.73,127961017,6159.3,0.08105519646,0.0001864640947,25015.55,84.5619,3.56,256.032,10163070260,14.8,9849.36,1.07,8.659432896e-05,0.02452521734,0.0006014862853,24.04938738416513,66.6328831291735,79.13,3009.05,0.022613179267710427,0.15037679098754045,-0.03320156901018141,0.0011023441847378386,0.40495792954514176
TSMixerX,10,2020-06-26,2020-07-08,7,0.058149116694408344,0.024808759129287473,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_10.pt,107525763.0,34.73,127961017,6159.3,0.08105519646,0.0001864640947,25015.55,84.5619,3.56,256.032,10163070260,14.8,9849.36,1.07,8.659432896e-05,0.02452521734,0.0006014862853,24.04938738416513,66.6328831291735,79.13,3009.05,0.022613179267710427,0.15037679098754045,-0.03334035756512087,0.0011115794425701122,0.4920806983690691
TSMixerX,10,2020-06-26,2020-07-09,8,0.06009530268782881,0.022067088949167975,/content/daily_h22_run/results/models/tsmixerx/tsmixerx_window_10.pt,107525763.0,34.73,127961017,6159.3,0.08105519646,0.0001864640947,25015.55,84.5619,3.56,256.032,10163070260,14.8,9849.36,1.07,8.659432896e-05,0.02452521734,0.0006014862853,24.04938738416513,66.6328831291735,79.13,3009.05,0.022613179267710427,0.15037679098754045,-0.03802821373866083,0.0014461450401532724,0.7214556012071118
