model,window_id,origin_date,target_date,horizon,y,y_hat,artifact_path,x_atr_14,x_vix_term_spread,x_stress_index,x_vix,x_parkinson,x_true_range,x_volume_medio_22d,x_spy_volume,x_bollinger_width_20,x_garman_klass,x_macd,x_ret_spx_abs,x_baa,x_baa_aaa_spread,x_rv_diaria,x_rogers_satchell,x_ukx_close,x_spx_low,x_roc_10,x_indu_close,x_spx_close,x_close_variance_forward_22,x_close_volatility_forward_22,error,squared_error,qlike_loss
LSTM,5,2015-09-22,2015-10-14,16,0.02193333280857795,0.0209554091337549,/content/daily_h22_run/results/models/lstm/lstm_window_05.pt,33.78904075788092,0.84,0.187,22.44,9.864181601e-05,37.75,194466237.6,153890876,0.06185551376,0.000101485636,-17.5751222458166,0.01239493989,5.29,1.28,0.0001536345348,0.0001154917191,5935.84,1929.22,-0.01354212683,16330.47,1942.74,0.026994206007729758,0.1642991357485783,-0.0009779236748230502,9.563347137794188e-07,0.001056165163392686
LSTM,5,2015-09-22,2015-10-15,17,0.021619071653951757,0.01852700861016392,/content/daily_h22_run/results/models/lstm/lstm_window_05.pt,33.78904075788092,0.84,0.187,22.44,9.864181601e-05,37.75,194466237.6,153890876,0.06185551376,0.000101485636,-17.5751222458166,0.01239493989,5.29,1.28,0.0001536345348,0.0001154917191,5935.84,1929.22,-0.01354212683,16330.47,1942.74,0.026994206007729758,0.1642991357485783,-0.003092063043787837,9.560853866758503e-06,0.012548609147632561
LSTM,5,2015-09-22,2015-10-16,18,0.021569283096924408,0.01683642373340644,/content/daily_h22_run/results/models/lstm/lstm_window_05.pt,33.78904075788092,0.84,0.187,22.44,9.864181601e-05,37.75,194466237.6,153890876,0.06185551376,0.000101485636,-17.5751222458166,0.01239493989,5.29,1.28,0.0001536345348,0.0001154917191,5935.84,1929.22,-0.01354212683,16330.47,1942.74,0.026994206007729758,0.1642991357485783,-0.004732859363517968,2.2399957754839707e-05,0.03338274918993411
LSTM,5,2015-09-22,2015-10-19,19,0.01982560924109564,0.02455541927780431,/content/daily_h22_run/results/models/lstm/lstm_window_05.pt,33.78904075788092,0.84,0.187,22.44,9.864181601e-05,37.75,194466237.6,153890876,0.06185551376,0.000101485636,-17.5751222458166,0.01239493989,5.29,1.28,0.0001536345348,0.0001154917191,5935.84,1929.22,-0.01354212683,16330.47,1942.74,0.026994206007729758,0.1642991357485783,0.004729810036708668,2.2371102983350054e-05,0.021340309081808506
LSTM,5,2015-09-22,2015-10-20,20,0.01909035987721847,0.01554963321086932,/content/daily_h22_run/results/models/lstm/lstm_window_05.pt,33.78904075788092,0.84,0.187,22.44,9.864181601e-05,37.75,194466237.6,153890876,0.06185551376,0.000101485636,-17.5751222458166,0.01239493989,5.29,1.28,0.0001536345348,0.0001154917191,5935.84,1929.22,-0.01354212683,16330.47,1942.74,0.026994206007729758,0.1642991357485783,-0.0035407266663491487,1.2536745325795956e-05,0.022558396565530048
LSTM,5,2015-09-22,2015-10-21,21,0.01873025628766265,0.016650001079622577,/content/daily_h22_run/results/models/lstm/lstm_window_05.pt,33.78904075788092,0.84,0.187,22.44,9.864181601e-05,37.75,194466237.6,153890876,0.06185551376,0.000101485636,-17.5751222458166,0.01239493989,5.29,1.28,0.0001536345348,0.0001154917191,5935.84,1929.22,-0.01354212683,16330.47,1942.74,0.026994206007729758,0.1642991357485783,-0.0020802552080400744,4.327461730577853e-06,0.007210326269174949
LSTM,5,2015-09-22,2015-10-22,22,0.017804341495775693,0.020832802052308703,/content/daily_h22_run/results/models/lstm/lstm_window_05.pt,33.78904075788092,0.84,0.187,22.44,9.864181601e-05,37.75,194466237.6,153890876,0.06185551376,0.000101485636,-17.5751222458166,0.01239493989,5.29,1.28,0.0001536345348,0.0001154917191,5935.84,1929.22,-0.01354212683,16330.47,1942.74,0.026994206007729758,0.1642991357485783,0.003028460556533011,9.171573342476234e-06,0.011716620584282023
LSTM,5,2015-09-23,2015-09-24,1,0.03655015572077972,0.02322439280690533,/content/daily_h22_run/results/models/lstm/lstm_window_05.pt,32.586252132318,0.75,0.187,22.13,2.750351902e-05,16.95,178654169.8,92790620,0.04622171592,3.607007596e-05,-18.33416769018345,0.002050754293,5.31,1.31,4.205593172e-06,3.546474442e-05,6032.24,1932.57,-0.001688945645,16279.89,1938.76,0.028324484612965398,0.1682987956372992,-0.01332576291387439,0.0001775759572367901,0.12030074265311419
LSTM,5,2015-09-23,2015-09-25,2,0.026533788946565297,0.025042911850673102,/content/daily_h22_run/results/models/lstm/lstm_window_05.pt,32.586252132318,0.75,0.187,22.13,2.750351902e-05,16.95,178654169.8,92790620,0.04622171592,3.607007596e-05,-18.33416769018345,0.002050754293,5.31,1.31,4.205593172e-06,3.546474442e-05,6032.24,1932.57,-0.001688945645,16279.89,1938.76,0.028324484612965398,0.1682987956372992,-0.001490877095892195,2.2227145150559454e-06,0.0017047492133477338
LSTM,5,2015-09-23,2015-09-28,3,0.025242577145592433,0.02107936223451517,/content/daily_h22_run/results/models/lstm/lstm_window_05.pt,32.586252132318,0.75,0.187,22.13,2.750351902e-05,16.95,178654169.8,92790620,0.04622171592,3.607007596e-05,-18.33416769018345,0.002050754293,5.31,1.31,4.205593172e-06,3.546474442e-05,6032.24,1932.57,-0.001688945645,16279.89,1938.76,0.028324484612965398,0.1682987956372992,-0.004163214911077264,1.7332358395816072e-05,0.017264269467263338
LSTM,5,2015-09-23,2015-09-29,4,0.02506935379275845,0.018944704211184955,/content/daily_h22_run/results/models/lstm/lstm_window_05.pt,32.586252132318,0.75,0.187,22.13,2.750351902e-05,16.95,178654169.8,92790620,0.04622171592,3.607007596e-05,-18.33416769018345,0.002050754293,5.31,1.31,4.205593172e-06,3.546474442e-05,6032.24,1932.57,-0.001688945645,16279.89,1938.76,0.028324484612965398,0.1682987956372992,-0.006124649581573497,3.751133249706841e-05,0.04316914845708486
LSTM,5,2015-09-23,2015-09-30,5,0.025283176096520022,0.02158218310757977,/content/daily_h22_run/results/models/lstm/lstm_window_05.pt,32.586252132318,0.75,0.187,22.13,2.750351902e-05,16.95,178654169.8,92790620,0.04622171592,3.607007596e-05,-18.33416769018345,0.002050754293,5.31,1.31,4.205593172e-06,3.546474442e-05,6032.24,1932.57,-0.001688945645,16279.89,1938.76,0.028324484612965398,0.1682987956372992,-0.0037009929889402528,1.3697349104184906e-05,0.013212637464174781
LSTM,5,2015-09-23,2015-10-01,6,0.026156893803783776,0.01902114140115603,/content/daily_h22_run/results/models/lstm/lstm_window_05.pt,32.586252132318,0.75,0.187,22.13,2.750351902e-05,16.95,178654169.8,92790620,0.04622171592,3.607007596e-05,-18.33416769018345,0.002050754293,5.31,1.31,4.205593172e-06,3.546474442e-05,6032.24,1932.57,-0.001688945645,16279.89,1938.76,0.028324484612965398,0.1682987956372992,-0.007135752402627746,5.0918962351607646e-05,0.056586770951020604
LSTM,5,2015-09-23,2015-10-02,7,0.027610837991051063,0.017991371103011557,/content/daily_h22_run/results/models/lstm/lstm_window_05.pt,32.586252132318,0.75,0.187,22.13,2.750351902e-05,16.95,178654169.8,92790620,0.04622171592,3.607007596e-05,-18.33416769018345,0.002050754293,5.31,1.31,4.205593172e-06,3.546474442e-05,6032.24,1932.57,-0.001688945645,16279.89,1938.76,0.028324484612965398,0.1682987956372992,-0.009619466888039507,9.253414321008847e-05,0.10635502276686948
LSTM,5,2015-09-23,2015-10-05,8,0.027789219860030877,0.019320666771765988,/content/daily_h22_run/results/models/lstm/lstm_window_05.pt,32.586252132318,0.75,0.187,22.13,2.750351902e-05,16.95,178654169.8,92790620,0.04622171592,3.607007596e-05,-18.33416769018345,0.002050754293,5.31,1.31,4.205593172e-06,3.546474442e-05,6032.24,1932.57,-0.001688945645,16279.89,1938.76,0.028324484612965398,0.1682987956372992,-0.008468553088264889,7.171639140876078e-05,0.07484294754879661
LSTM,5,2015-09-23,2015-10-06,9,0.026666912488489396,0.017404815716579262,/content/daily_h22_run/results/models/lstm/lstm_window_05.pt,32.586252132318,0.75,0.187,22.13,2.750351902e-05,16.95,178654169.8,92790620,0.04622171592,3.607007596e-05,-18.33416769018345,0.002050754293,5.31,1.31,4.205593172e-06,3.546474442e-05,6032.24,1932.57,-0.001688945645,16279.89,1938.76,0.028324484612965398,0.1682987956372992,-0.009262096771910134,8.578643661222812e-05,0.10548049850718999
LSTM,5,2015-09-23,2015-10-07,10,0.025785770654679352,0.01775122320213715,/content/daily_h22_run/results/models/lstm/lstm_window_05.pt,32.586252132318,0.75,0.187,22.13,2.750351902e-05,16.95,178654169.8,92790620,0.04622171592,3.607007596e-05,-18.33416769018345,0.002050754293,5.31,1.31,4.205593172e-06,3.546474442e-05,6032.24,1932.57,-0.001688945645,16279.89,1938.76,0.028324484612965398,0.1682987956372992,-0.008034547452542201,6.455395276715237e-05,0.0792509810143498
LSTM,5,2015-09-23,2015-10-08,11,0.025587328368402256,0.018077798633637062,/content/daily_h22_run/results/models/lstm/lstm_window_05.pt,32.586252132318,0.75,0.187,22.13,2.750351902e-05,16.95,178654169.8,92790620,0.04622171592,3.607007596e-05,-18.33416769018345,0.002050754293,5.31,1.31,4.205593172e-06,3.546474442e-05,6032.24,1932.57,-0.001688945645,16279.89,1938.76,0.028324484612965398,0.1682987956372992,-0.007509529734765194,5.639303683732261e-05,0.06798802111625823
LSTM,5,2015-09-23,2015-10-09,12,0.02293093140953041,0.017655939963484277,/content/daily_h22_run/results/models/lstm/lstm_window_05.pt,32.586252132318,0.75,0.187,22.13,2.750351902e-05,16.95,178654169.8,92790620,0.04622171592,3.607007596e-05,-18.33416769018345,0.002050754293,5.31,1.31,4.205593172e-06,3.546474442e-05,6032.24,1932.57,-0.001688945645,16279.89,1938.76,0.028324484612965398,0.1682987956372992,-0.005274991446046134,2.7825534755859882e-05,0.037351376546358006
